,pickup_location_id,pickup_latitude,pickup_longitude
0,0,40.76515198,-73.97674561
1,1,40.76792526,-73.98348236
2,2,40.64480972,-73.78202057
3,3,40.76981354,-73.86341858
4,4,40.79218292,-73.97174072
5,5,40.7053833,-74.01719666
6,6,40.72784805,-73.99458313
7,7,40.64775848,-73.78877258
8,8,40.76464081,-73.95822144
9,9,40.74119186,-73.98577881
10,10,40.76416016,-73.98842621
11,11,40.79742813,-73.96981812
12,12,40.7881279,-73.95380402
13,13,40.75217056,-73.97608948
14,14,40.71912003,-74.00206757
15,15,40.73071671,-74.00672913
16,16,40.7166214,-74.00661469
17,17,40.77061844,-73.98226929
18,18,40.64503098,-73.79238892
19,19,40.73189163,-73.98378754
20,20,40.73856354,-73.99941254
21,21,40.7711792,-73.86585999
22,22,40.76165009,-73.96642303
23,23,40.75711823,-73.98986816
24,24,40.74290085,-73.98406982
25,25,40.72746277,-74.00041962
26,26,40.75765228,-73.99080658
27,27,40.78703308,-73.97548676
28,28,40.64701843,-73.78941345
29,29,40.73730087,-73.98112488
30,30,40.7497139,-73.99230194
31,31,40.70626831,-74.0079422
32,32,40.76890945,-73.95465851
33,33,40.79033279,-73.96561432
34,34,40.75569153,-73.98728943
35,35,40.75626373,-73.98183441
36,36,40.78277206,-73.95122528
37,37,40.75618362,-73.98300934
38,38,40.7216835,-73.98862457
39,39,40.74918747,-73.99179077
40,40,40.73867035,-73.99591827
41,41,40.76414108,-73.95418549
42,42,40.65494919,-73.96170044
43,43,40.7189064,-73.9890213
44,44,40.75152588,-73.97113037
45,45,40.76169586,-73.98197174
46,46,40.79098129,-73.96903992
47,47,40.74058151,-73.99842834
48,48,40.74040985,-74.00578308
49,49,40.7205162,-73.98713684
50,50,40.76246643,-73.97879028
51,51,40.75724411,-73.9825058
52,52,40.70807266,-74.01290131
53,53,40.79089355,-73.96903992
54,54,40.75860977,-73.98222351
55,55,40.74930954,-74.00289917
56,56,40.75759888,-73.98590851
57,57,40.75899887,-73.99240112
58,58,40.76818848,-73.98390198
59,59,40.75659943,-73.99774933
60,60,40.76678848,-73.98654175
61,61,40.75561523,-73.98704529
62,62,40.72500229,-73.99542999
63,63,40.72537231,-73.99212646
64,64,40.64771652,-73.78942871
65,65,40.77368927,-73.87077332
66,66,40.7141304,-73.95204926
67,67,40.75608444,-73.97259521
68,68,40.74035263,-74.0059433
69,69,40.76193619,-73.9900589
70,70,40.75598907,-73.97267151
71,71,40.74975204,-73.97994995
72,72,40.74505615,-73.98271942
73,73,40.77450943,-73.87252045
74,74,40.72058105,-73.98957825
75,75,40.75928116,-73.97259521
76,76,40.74233246,-74.0061264
77,77,40.77402115,-73.87443542
78,78,40.76699829,-73.96793365
79,79,40.7741127,-73.87453461
80,80,40.7783165,-73.94833374
81,81,40.73498917,-73.99053192
82,82,40.72309875,-73.98603821
83,83,40.67628479,-73.98059082
84,84,40.72105026,-74.01022339
85,85,40.72293091,-73.98274231
86,86,40.72338104,-73.99111176
87,87,40.76673889,-73.91590118
88,88,40.71789932,-74.0058136
89,89,40.76068878,-73.98741913
90,90,40.74217987,-73.98301697
91,91,40.76136017,-73.96698761
92,92,40.72186661,-73.98740387
93,93,40.75227356,-73.97839355
94,94,40.75590515,-73.97275543
95,95,40.60926056,-74.65130615
96,96,40.7412262,-73.9866333
97,97,40.74684143,-73.98587799
98,98,40.75181961,-73.97080994
99,99,40.76174545,-73.97491455
100,100,40.76053619,-73.97598267
101,101,40.75098801,-73.97419739
102,102,40.81066132,-73.95240784
103,103,40.78363037,-73.95482635
104,104,40.78583908,-73.97641754
105,105,40.80332947,-73.95626068
106,106,40.75708771,-73.98860168
107,107,40.75059509,-73.97509003
108,108,40.79274368,-73.94594574
109,109,40.73735428,-73.98848724
110,110,40.7431221,-73.97399902
111,111,40.7000351,-73.98757935
112,112,40.75999069,-73.99621582
113,113,40.72496796,-73.9988327
114,114,40.75304031,-73.97748566
115,115,40.71933365,-74.01016998
116,116,0.0,0.0
117,117,40.76193619,-73.98661041
118,118,40.76403046,-73.97314453
119,119,40.72010803,-73.99399567
120,120,40.76304245,-73.98197937
121,121,40.74817276,-74.00792694
122,122,40.79489136,-73.97218323
123,123,40.75355148,-73.97393799
124,124,40.75334167,-73.97753143
125,125,40.68385696,-73.97672272
126,126,40.75767136,-73.97499847
127,127,40.75219345,-73.97740936
128,128,40.74011993,-74.00601196
129,129,40.65682983,-73.79316711
130,130,40.76277924,-73.9786377
131,131,40.64365005,-73.78993225
132,132,40.75959015,-73.97323608
133,133,40.77960968,-73.95195007
134,134,40.75677109,-73.97566986
135,135,40.64403915,-73.79023743
136,136,40.73789978,-73.98733521
137,137,40.72977829,-73.9969635
138,138,40.72639465,-73.99159241
139,139,40.74924088,-73.98856354
140,140,40.74422073,-73.98783875
141,141,40.75964737,-73.98805237
142,142,40.74190521,-73.98555756
143,143,40.80819702,-73.96387482
144,144,40.75336838,-73.97466278
145,145,40.78847504,-73.97673035
146,146,40.72389603,-73.99118805
147,147,40.76170349,-73.98664093
148,148,40.64477158,-73.78217316
149,149,40.7578125,-73.97136688
150,150,40.74473953,-73.98297882
151,151,40.75896835,-73.96846771
152,152,40.76015854,-73.97588348
153,153,40.74994278,-73.99207306
154,154,40.7593689,-73.96805573
155,155,40.72190094,-73.99978638
156,156,40.84545898,-73.93865967
157,157,40.77000809,-73.9625473
158,158,40.76211166,-73.97431183
159,159,40.77379227,-73.87437439
160,160,40.79460526,-73.94454956
161,161,40.73506165,-73.99138641
162,162,40.71707535,-73.99156952
163,163,40.73038864,-73.98426819
164,164,40.75825119,-73.96935272
165,165,40.75323868,-73.97924042
166,166,40.72288132,-73.98872375
167,167,40.74900055,-73.99185944
168,168,40.75556946,-73.98748016
169,169,40.74832153,-74.00754547
170,170,40.64554977,-73.77679443
171,171,40.76298141,-73.97843933
172,172,40.75537491,-73.9870224
173,173,40.74898911,-73.9881897
174,174,40.72240067,-73.9801178
175,175,40.73535919,-73.99841309
176,176,40.71654129,-74.01515961
177,177,40.76541901,-73.91806793
178,178,40.75871658,-73.99602509
179,179,40.75933838,-73.98664856
180,180,40.78348541,-73.95274353
181,181,40.7783165,-73.95843506
182,182,40.75610733,-73.99033356
183,183,40.72818375,-73.98806763
184,184,40.77195358,-73.94994354
185,185,40.78031158,-73.94476318
186,186,40.80044174,-73.96199799
187,187,40.74002457,-73.9822998
188,188,40.70938873,-74.01773071
189,189,40.75152206,-73.97668457
190,190,40.77595901,-73.98742676
191,191,40.75496674,-73.97806549
192,192,40.74686813,-74.00424957
193,193,40.72288513,-73.9858017
194,194,40.73315048,-73.99581146
